[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /socket.io/*any           --> go_rtc/server.StartGin.WrapH.func1 (3 handlers)
[GIN-debug] POST   /socket.io/*any           --> go_rtc/server.StartGin.WrapH.func2 (3 handlers)
[GIN-debug] OPTIONS /socket.io/*any           --> go_rtc/server.StartGin.WrapH.func3 (3 handlers)
[GIN-debug] GET    /ping                     --> go_rtc/internal/router.SetupRoutes.func1 (4 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] POST   /api/v1/auth/login        --> go_rtc/internal/handler.(*AuthHandler).Login-fm (4 handlers)
[GIN-debug] POST   /api/v1/auth/register     --> go_rtc/internal/handler.(*AuthHandler).Register-fm (4 handlers)
[GIN-debug] POST   /api/v1/auth/refresh_token --> go_rtc/internal/handler.(*AuthHandler).GetRefreshToken-fm (4 handlers)
[GIN-debug] POST   /api/v1/signal/token      --> go_rtc/internal/handler.(*SignalHandler).GetJoinToken-fm (4 handlers)
[GIN-debug] POST   /api/v1/signal/signal     --> go_rtc/internal/handler.(*SignalHandler).Signal-fm (4 handlers)
[GIN-debug] GET    /api/v1/signal/rooms      --> go_rtc/internal/handler.(*SignalHandler).ListRooms-fm (4 handlers)
[GIN-debug] GET    /api/v1/signal/participants --> go_rtc/internal/handler.(*SignalHandler).ListParticipants-fm (4 handlers)
[GIN-debug] GET    /api/v1/user/profile      --> go_rtc/internal/handler.(*UserHandler).GetProfile-fm (5 handlers)
[GIN-debug] GET    /api/v1/user/list         --> go_rtc/internal/handler.(*UserHandler).List-fm (5 handlers)
[GIN-debug] GET    /api/v1/user/:id          --> go_rtc/internal/handler.(*UserHandler).GetByID-fm (5 handlers)
[GIN-debug] DELETE /api/v1/user/:id          --> go_rtc/internal/handler.(*UserHandler).Delete-fm (5 handlers)
[GIN-debug] POST   /api/v1/auth/logout       --> go_rtc/internal/handler.(*AuthHandler).Logout-fm (4 handlers)
[GIN-debug] POST   /api/v1/auth/refresh      --> go_rtc/internal/handler.(*AuthHandler).RefreshToken-fm (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8098
[GIN] 2026/05/24 - 22:57:41 | 200 |    1.516125ms |             ::1 | POST     "/api/v1/auth/register"
[GIN] 2026/05/24 - 22:57:41 | 200 |      96.291µs |             ::1 | POST     "/api/v1/signal/token"
[GIN] 2026/05/24 - 22:57:41 | 200 |      87.417µs |             ::1 | GET      "/api/v1/user/profile"
[GIN] 2026/05/24 - 22:57:41 | 200 |      40.958µs |             ::1 | POST     "/api/v1/signal/token"
[GIN] 2026/05/24 - 22:57:41 | 200 |          49µs |             ::1 | POST     "/api/v1/signal/signal"
[GIN] 2026/05/24 - 22:57:41 | 200 |     528.125µs |             ::1 | POST     "/api/v1/auth/register"
[GIN] 2026/05/24 - 22:57:41 | 200 |      23.417µs |             ::1 | POST     "/api/v1/signal/signal"
[GIN] 2026/05/24 - 22:57:41 | 200 |          51µs |             ::1 | POST     "/api/v1/auth/register"
[GIN] 2026/05/24 - 22:57:41 | 200 |      91.459µs |             ::1 | GET      "/api/v1/user/profile"
[GIN] 2026/05/24 - 22:57:41 | 200 |      27.167µs |             ::1 | POST     "/api/v1/signal/signal"
[GIN] 2026/05/24 - 22:57:41 | 200 |     179.958µs |             ::1 | POST     "/api/v1/auth/login"
[GIN] 2026/05/24 - 22:57:41 | 200 |       7.667µs |             ::1 | GET      "/api/v1/user/list"
[GIN] 2026/05/24 - 22:57:41 | 200 |      29.041µs |             ::1 | POST     "/api/v1/signal/signal"
[GIN] 2026/05/24 - 22:57:41 | 200 |     200.167µs |             ::1 | POST     "/api/v1/auth/login"
[GIN] 2026/05/24 - 22:57:41 | 200 |       5.083µs |             ::1 | GET      "/api/v1/user/list?page=1&page_size=5"
[GIN] 2026/05/24 - 22:57:41 | 200 |     324.833µs |             ::1 | POST     "/api/v1/auth/login"
[GIN] 2026/05/24 - 22:57:41 | 200 |       9.917µs |             ::1 | GET      "/api/v1/user/list?page=99&page_size=10"
[GIN] 2026/05/24 - 22:57:41 | 200 |       91.25µs |             ::1 | POST     "/api/v1/auth/refresh_token"
[GIN] 2026/05/24 - 22:57:41 | 200 |       9.916µs |             ::1 | GET      "/api/v1/user/list"
[GIN] 2026/05/24 - 22:57:41 | 200 |      78.833µs |             ::1 | GET      "/api/v1/signal/rooms"
[GIN] 2026/05/24 - 22:57:41 | 200 |      48.125µs |             ::1 | POST     "/api/v1/auth/refresh_token"
[GIN] 2026/05/24 - 22:57:41 | 200 |       7.167µs |             ::1 | GET      "/api/v1/user/99999"
[GIN] 2026/05/24 - 22:57:41 | 200 |       12.25µs |             ::1 | GET      "/api/v1/signal/participants?room=test-room"
[GIN] 2026/05/24 - 22:57:41 | 200 |       5.709µs |             ::1 | POST     "/api/v1/auth/logout"
